question_ID,source,stage,reference_step,predicted_step,reference_role,predicted_role,role_correct,step_exact,step_within_5,absolute_step_error,steps,method,step_confidence,call_log_directory
swe_bench_pro__001,swe_bench_pro,reduction_drop,25,178,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,153,309,segmented_choice,0.17,results/full/calls/swe_bench_pro__001
swe_bench_pro__002,swe_bench_pro,reduction_drop,21,51,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,False,30,120,segmented_choice,0.42,results/full/calls/swe_bench_pro__002
swe_bench_pro__003,swe_bench_pro,final_wrong,246,167,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,79,429,segmented_choice,0.57,results/full/calls/swe_bench_pro__003
swe_bench_pro__004,swe_bench_pro,reduction_drop,124,75,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,49,345,segmented_choice,0.29,results/full/calls/swe_bench_pro__004
swe_bench_pro__005,swe_bench_pro,final_wrong,33,34,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,True,1,320,segmented_choice,0.46,results/full/calls/swe_bench_pro__005
swe_bench_pro__006,swe_bench_pro,final_wrong,56,35,ActionAgent,ActionAgent,True,False,False,21,172,segmented_choice,0.06,results/full/calls/swe_bench_pro__006
swe_bench_pro__007,swe_bench_pro,reduction_drop,27,38,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,11,170,segmented_choice,0.28,results/full/calls/swe_bench_pro__007
swe_bench_pro__008,swe_bench_pro,recall_miss,54,64,ActionAgent,ActionAgent,True,False,False,10,210,segmented_choice,0.53,results/full/calls/swe_bench_pro__008
swe_bench_pro__009,swe_bench_pro,reduction_drop,52,46,ActionAgent,ActionAgent,True,False,False,6,190,segmented_choice,0.44,results/full/calls/swe_bench_pro__009
swe_bench_pro__010,swe_bench_pro,final_wrong,76,46,ActionAgent,ActionAgent,True,False,False,30,258,segmented_choice,0.42,results/full/calls/swe_bench_pro__010
swe_bench_pro__011,swe_bench_pro,reduction_drop,17,79,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,62,417,segmented_choice,0.29,results/full/calls/swe_bench_pro__011
swe_bench_pro__012,swe_bench_pro,final_wrong,21,32,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,11,125,segmented_choice,0.2,results/full/calls/swe_bench_pro__012
swe_bench_pro__013,swe_bench_pro,final_wrong,23,26,DiagnostAgent (-> ActionAgent),JudgeAgent,False,False,True,3,80,segmented_choice,0.21,results/full/calls/swe_bench_pro__013
swe_bench_pro__014,swe_bench_pro,reduction_drop,31,36,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,True,5,170,segmented_choice,0.42,results/full/calls/swe_bench_pro__014
swe_bench_pro__015,swe_bench_pro,correct,110,110,DiagnostAgent (-> ActionAgent),ActionAgent,False,True,True,0,502,segmented_choice,0.61,results/full/calls/swe_bench_pro__015
swe_bench_pro__016,swe_bench_pro,final_wrong,49,50,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,True,1,250,segmented_choice,0.61,results/full/calls/swe_bench_pro__016
swe_bench_pro__017,swe_bench_pro,final_wrong,130,304,ActionAgent,ActionAgent,True,False,False,174,461,segmented_choice,0.2,results/full/calls/swe_bench_pro__017
swe_bench_pro__018,swe_bench_pro,reduction_drop,23,25,DiagnostAgent,ActionAgent,False,False,True,2,284,segmented_choice,0.42,results/full/calls/swe_bench_pro__018
swe_bench_pro__019,swe_bench_pro,final_wrong,57,180,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,123,280,segmented_choice,0.26,results/full/calls/swe_bench_pro__019
swe_bench_pro__020,swe_bench_pro,reduction_drop,28,31,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,True,3,106,segmented_choice,0.24,results/full/calls/swe_bench_pro__020
swe_bench_pro__021,swe_bench_pro,final_wrong,21,69,DiagnostAgent (-> ActionAgent),ActionAgent,False,False,False,48,270,segmented_choice,0.49,results/full/calls/swe_bench_pro__021
